Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportCalls,LatePayments,DataUsageGB,Churn
59.0,666.0,39294.0,Month-to-month,Fiber,Credit Card,3.0,2.0,26.64,1
17.0,693.0,11781.0,Month-to-month,Fiber,Credit Card,2.0,2.0,15.14,1
41.0,567.0,23247.0,Month-to-month,Fiber,Credit Card,2.0,3.0,8.66,1
47.0,993.0,46671.0,Two year,DSL,Net Banking,3.0,0.0,2.13,0
17.0,574.0,9758.0,Month-to-month,Fiber,Debit Card,2.0,1.0,18.47,0
26.0,905.0,23530.0,Month-to-month,Fiber,UPI,1.0,0.0,3.61,1
5.0,650.0,3250.0,Month-to-month,Fiber,UPI,6.0,1.0,12.4,1
1.0,549.0,549.0,One year,DSL,UPI,5.0,1.0,28.56,1
58.0,898.0,52084.0,Month-to-month,DSL,Credit Card,3.0,0.0,2.74,1
,,,,,,,,,0
9.0,518.0,4662.0,One year,Fiber,Debit Card,1.0,0.0,15.97,0
16.0,920.0,14720.0,Two year,Fiber,Credit Card,2.0,0.0,24.4,0
6.0,880.0,5280.0,Month-to-month,Fiber,Credit Card,0.0,4.0,13.74,1
48.0,841.0,40368.0,Month-to-month,DSL,Net Banking,3.0,0.0,9.32,0
28.0,993.0,27804.0,Month-to-month,Fiber,Debit Card,2.0,6.0,8.18,1
40.0,685.0,27400.0,One year,DSL,Debit Card,3.0,0.0,14.79,0
8.0,619.0,4952.0,Month-to-month,Fiber,Credit Card,3.0,2.0,7.0,1
44.0,844.0,37136.0,Month-to-month,DSL,Net Banking,3.0,2.0,15.73,1
28.0,519.0,14532.0,Month-to-month,Fiber,Debit Card,4.0,1.0,5.8,1
22.0,535.0,11770.0,Month-to-month,DSL,Credit Card,2.0,0.0,28.64,0
14.0,436.0,6104.0,Month-to-month,Fiber,Credit Card,2.0,1.0,11.01,0
15.0,923.0,13845.0,Month-to-month,Fiber,Debit Card,1.0,3.0,15.5,1
39.0,709.0,27651.0,Month-to-month,Fiber,Credit Card,3.0,3.0,20.62,1
6.0,576.0,3456.0,Month-to-month,Fiber,Credit Card,2.0,0.0,3.15,1
26.0,821.0,21346.0,Two year,Fiber,UPI,2.0,2.0,11.17,0
21.0,889.0,18669.0,Month-to-month,Fiber,Net Banking,2.0,2.0,21.96,1
29.0,779.0,22591.0,One year,DSL,UPI,3.0,1.0,11.41,0
48.0,797.0,38256.0,Month-to-month,Fiber,UPI,3.0,1.0,11.88,0
2.0,727.0,1454.0,Two year,Fiber,Debit Card,4.0,1.0,3.63,1
,,,,,,,,,1
58.0,554.0,32132.0,Month-to-month,DSL,Debit Card,3.0,4.0,28.74,1
15.0,559.0,8385.0,Month-to-month,DSL,UPI,2.0,0.0,25.29,0
23.0,620.0,14260.0,One year,DSL,Debit Card,2.0,0.0,18.65,0
48.0,714.0,34272.0,One year,DSL,UPI,0.0,2.0,2.49,0
17.0,951.0,16167.0,Month-to-month,Fiber,Credit Card,4.0,0.0,29.28,1
10.0,923.0,9230.0,Month-to-month,DSL,Debit Card,3.0,3.0,11.34,1
28.0,956.0,26768.0,Month-to-month,Fiber,Credit Card,2.0,1.0,4.99,1
28.0,955.0,26740.0,Two year,Fiber,Debit Card,3.0,1.0,8.62,0
35.0,837.0,29295.0,Two year,DSL,Net Banking,0.0,0.0,24.53,0
11.0,740.0,8140.0,Month-to-month,Fiber,Net Banking,5.0,1.0,24.42,1
27.0,935.0,25245.0,Month-to-month,Fiber,UPI,2.0,0.0,6.21,0
38.0,521.0,19798.0,Month-to-month,Fiber,UPI,2.0,0.0,13.96,0
52.0,818.0,42536.0,Two year,DSL,UPI,0.0,0.0,2.97,0
15.0,909.0,13635.0,Month-to-month,Fiber,Net Banking,3.0,2.0,21.56,1
47.0,890.0,41830.0,Month-to-month,DSL,Debit Card,1.0,2.0,2.5,1
,,,,,,,,,1
4.0,877.0,3508.0,Two year,Fiber,Net Banking,2.0,1.0,2.93,1
55.0,881.0,48455.0,One year,Fiber,UPI,4.0,2.0,26.88,0
48.0,470.0,22560.0,One year,Fiber,Credit Card,2.0,0.0,29.55,0
6.0,623.0,3738.0,Month-to-month,DSL,Debit Card,2.0,1.0,4.69,1
36.0,593.0,21348.0,Two year,DSL,Debit Card,4.0,1.0,20.15,0
41.0,613.0,25133.0,Month-to-month,DSL,Debit Card,3.0,2.0,14.74,1
31.0,796.0,24676.0,One year,Fiber,Credit Card,1.0,1.0,3.28,0
52.0,841.0,43732.0,One year,Fiber,Debit Card,2.0,1.0,23.87,0
27.0,949.0,25623.0,Month-to-month,Fiber,Debit Card,3.0,0.0,4.34,1
45.0,770.0,34650.0,One year,Fiber,Debit Card,2.0,0.0,18.8,0
21.0,883.0,18543.0,Month-to-month,DSL,Net Banking,4.0,1.0,20.52,1
7.0,486.0,3402.0,Month-to-month,Fiber,UPI,6.0,0.0,21.2,1
26.0,989.0,25714.0,One year,Fiber,Net Banking,1.0,0.0,21.55,0
34.0,845.0,28730.0,One year,DSL,UPI,2.0,3.0,26.82,0
57.0,961.0,54777.0,Month-to-month,DSL,Debit Card,2.0,0.0,18.7,0
16.0,419.0,6704.0,Month-to-month,Fiber,Credit Card,1.0,2.0,29.42,1
26.0,418.0,10868.0,Month-to-month,DSL,Net Banking,3.0,2.0,21.08,1
28.0,562.0,15736.0,One year,Fiber,Net Banking,1.0,1.0,25.98,0
19.0,799.0,15181.0,One year,Fiber,Debit Card,2.0,1.0,22.62,0
35.0,915.0,32025.0,One year,Fiber,Debit Card,4.0,0.0,23.79,0
27.0,548.0,14796.0,Month-to-month,Fiber,Credit Card,5.0,0.0,7.99,1
59.0,546.0,32214.0,One year,DSL,UPI,1.0,1.0,17.29,0
,,,,,,,,,1
7.0,865.0,6055.0,Month-to-month,DSL,Credit Card,1.0,0.0,29.1,0
58.0,555.0,32190.0,Month-to-month,Fiber,Credit Card,1.0,2.0,16.32,1
38.0,416.0,15808.0,Month-to-month,Fiber,UPI,3.0,1.0,3.7,1
3.0,531.0,1593.0,Month-to-month,Fiber,UPI,1.0,1.0,1.82,1
59.0,429.0,25311.0,One year,DSL,UPI,3.0,0.0,1.37,0
,,,,,,,,,1
42.0,640.0,26880.0,Month-to-month,DSL,Credit Card,3.0,0.0,24.17,0
37.0,934.0,34558.0,Month-to-month,Fiber,UPI,4.0,0.0,27.76,1
17.0,423.0,7191.0,Month-to-month,Fiber,Debit Card,3.0,1.0,7.61,0
39.0,990.0,38610.0,Month-to-month,Fiber,Net Banking,0.0,0.0,5.02,0
57.0,870.0,49590.0,Two year,Fiber,Credit Card,2.0,1.0,17.86,0
44.0,559.0,24596.0,Month-to-month,Fiber,Credit Card,4.0,0.0,3.46,1
40.0,769.0,30760.0,Month-to-month,Fiber,UPI,3.0,2.0,28.15,1
,,,,,,,,,1
7.0,432.0,3024.0,One year,Fiber,Credit Card,1.0,0.0,16.56,0
1.0,443.0,443.0,Month-to-month,Fiber,UPI,3.0,0.0,21.45,1
50.0,486.0,24300.0,Month-to-month,Fiber,Debit Card,4.0,3.0,6.96,1
33.0,936.0,30888.0,Month-to-month,DSL,Debit Card,2.0,4.0,23.43,1
44.0,969.0,42636.0,Month-to-month,Fiber,Credit Card,4.0,0.0,28.32,1
25.0,753.0,18825.0,One year,DSL,UPI,0.0,3.0,9.31,0
50.0,637.0,31850.0,Month-to-month,DSL,Credit Card,1.0,1.0,25.16,0
59.0,612.0,36108.0,Two year,Fiber,UPI,3.0,2.0,3.39,0
21.0,996.0,20916.0,Month-to-month,Fiber,Credit Card,0.0,2.0,25.94,1
26.0,551.0,14326.0,Month-to-month,Fiber,Debit Card,7.0,0.0,16.63,1
4.0,785.0,3140.0,Month-to-month,Fiber,Net Banking,1.0,3.0,1.01,1
41.0,967.0,39647.0,Two year,DSL,Debit Card,1.0,3.0,1.31,0
52.0,527.0,27404.0,Month-to-month,Fiber,Net Banking,1.0,1.0,6.25,0
35.0,572.0,20020.0,Month-to-month,DSL,UPI,3.0,1.0,4.08,1
41.0,589.0,24149.0,Month-to-month,Fiber,Net Banking,3.0,4.0,22.52,1
56.0,980.0,54880.0,Month-to-month,DSL,Net Banking,2.0,1.0,1.75,1
41.0,545.0,22345.0,Month-to-month,DSL,Net Banking,1.0,2.0,3.21,1
28.0,573.0,16044.0,Month-to-month,Fiber,Net Banking,1.0,0.0,17.26,0
16.0,933.0,14928.0,Month-to-month,DSL,UPI,4.0,1.0,17.48,1
14.0,730.0,10220.0,Month-to-month,DSL,Credit Card,4.0,2.0,12.63,1
45.0,683.0,30735.0,Two year,Fiber,Credit Card,1.0,1.0,24.45,0
6.0,412.0,2472.0,One year,DSL,Net Banking,4.0,0.0,24.67,0
36.0,809.0,29124.0,One year,DSL,Net Banking,3.0,0.0,12.57,0
11.0,659.0,7249.0,Month-to-month,Fiber,Net Banking,1.0,2.0,26.98,1
13.0,607.0,7891.0,Month-to-month,Fiber,Debit Card,1.0,2.0,13.85,1
26.0,534.0,13884.0,Month-to-month,DSL,UPI,1.0,1.0,8.56,0
33.0,820.0,27060.0,Month-to-month,DSL,UPI,4.0,0.0,6.1,1
53.0,426.0,22578.0,Month-to-month,DSL,Credit Card,4.0,2.0,7.58,1
42.0,871.0,36582.0,Month-to-month,DSL,Debit Card,4.0,1.0,25.17,1
37.0,882.0,32634.0,One year,Fiber,UPI,2.0,0.0,7.76,0
11.0,729.0,8019.0,Month-to-month,DSL,UPI,1.0,3.0,6.28,1
20.0,550.0,11000.0,Month-to-month,Fiber,Debit Card,1.0,1.0,3.96,1
39.0,834.0,32526.0,Month-to-month,Fiber,Net Banking,2.0,2.0,28.25,1
26.0,613.0,15938.0,Month-to-month,Fiber,UPI,0.0,3.0,26.01,1
59.0,963.0,56817.0,Two year,DSL,Debit Card,2.0,1.0,19.56,0
10.0,749.0,7490.0,Month-to-month,Fiber,Debit Card,2.0,0.0,14.6,0
55.0,638.0,35090.0,Month-to-month,Fiber,UPI,2.0,1.0,15.25,0
6.0,971.0,5826.0,Two year,Fiber,Debit Card,4.0,1.0,4.85,0
12.0,501.0,6012.0,Month-to-month,DSL,Credit Card,2.0,3.0,29.3,1
53.0,601.0,31853.0,Two year,Fiber,Debit Card,5.0,2.0,5.56,0
27.0,790.0,21330.0,Month-to-month,Fiber,Net Banking,1.0,1.0,18.86,0
6.0,916.0,5496.0,Month-to-month,DSL,UPI,3.0,3.0,10.8,1
34.0,938.0,31892.0,Month-to-month,DSL,UPI,2.0,1.0,28.25,0
5.0,460.0,2300.0,Month-to-month,Fiber,Credit Card,3.0,0.0,13.86,1
35.0,475.0,16625.0,Month-to-month,Fiber,Credit Card,2.0,2.0,8.12,1
15.0,661.0,9915.0,Month-to-month,Fiber,Net Banking,5.0,2.0,14.58,1
1.0,827.0,827.0,Month-to-month,DSL,Net Banking,3.0,0.0,17.09,1
38.0,947.0,35986.0,Month-to-month,DSL,Net Banking,4.0,1.0,17.97,1
32.0,718.0,22976.0,Month-to-month,Fiber,UPI,2.0,1.0,2.12,1
47.0,765.0,35955.0,Month-to-month,Fiber,Debit Card,1.0,1.0,14.08,0
42.0,491.0,20622.0,Two year,Fiber,Debit Card,2.0,0.0,9.81,0
48.0,790.0,37920.0,Month-to-month,DSL,Credit Card,1.0,2.0,23.5,1
29.0,569.0,16501.0,Month-to-month,Fiber,Credit Card,0.0,2.0,23.34,1
,,,,,,,,,0
18.0,731.0,13158.0,One year,Fiber,Net Banking,0.0,0.0,7.47,0
19.0,878.0,16682.0,Month-to-month,DSL,Net Banking,4.0,0.0,15.46,1
40.0,526.0,21040.0,Two year,Fiber,Credit Card,2.0,0.0,24.11,0
34.0,634.0,21556.0,Month-to-month,DSL,Credit Card,4.0,0.0,10.84,1
18.0,782.0,14076.0,Month-to-month,Fiber,Debit Card,2.0,2.0,23.41,1
25.0,685.0,17125.0,One year,DSL,Net Banking,2.0,0.0,15.71,0
30.0,584.0,17520.0,Month-to-month,Fiber,Debit Card,2.0,2.0,20.17,1
19.0,581.0,11039.0,Two year,DSL,UPI,2.0,0.0,12.07,0
12.0,680.0,8160.0,Month-to-month,Fiber,Credit Card,0.0,2.0,23.11,1
30.0,579.0,17370.0,Month-to-month,Fiber,Debit Card,3.0,2.0,2.31,1
11.0,763.0,8393.0,Month-to-month,DSL,Credit Card,0.0,1.0,19.28,0
40.0,609.0,24360.0,Two year,DSL,Credit Card,2.0,0.0,1.98,0
25.0,571.0,14275.0,Month-to-month,Fiber,Credit Card,4.0,3.0,19.12,1
14.0,461.0,6454.0,Month-to-month,Fiber,Credit Card,3.0,1.0,9.28,0
57.0,906.0,51642.0,Two year,DSL,Net Banking,3.0,2.0,20.65,0
31.0,829.0,25699.0,Month-to-month,Fiber,Credit Card,1.0,3.0,1.25,1
43.0,751.0,32293.0,Month-to-month,DSL,Net Banking,2.0,3.0,16.25,1
27.0,629.0,16983.0,Month-to-month,DSL,Debit Card,2.0,2.0,18.71,1
29.0,807.0,23403.0,Month-to-month,DSL,Debit Card,3.0,2.0,29.3,1
2.0,750.0,1500.0,Month-to-month,DSL,Net Banking,2.0,4.0,25.39,1
38.0,684.0,25992.0,One year,DSL,UPI,3.0,1.0,20.23,0
14.0,440.0,6160.0,Two year,Fiber,Net Banking,1.0,2.0,15.05,0
15.0,407.0,6105.0,Month-to-month,DSL,Net Banking,1.0,0.0,29.79,0
21.0,983.0,20643.0,Month-to-month,Fiber,Net Banking,2.0,0.0,10.94,0
53.0,588.0,31164.0,Two year,Fiber,Debit Card,2.0,1.0,3.51,0
12.0,838.0,10056.0,One year,DSL,UPI,1.0,4.0,22.68,0
12.0,727.0,8724.0,One year,Fiber,Debit Card,1.0,1.0,17.1,0
4.0,976.0,3904.0,Month-to-month,DSL,UPI,2.0,0.0,29.49,1
10.0,403.0,4030.0,Month-to-month,Fiber,Net Banking,1.0,2.0,21.12,1
2.0,589.0,1178.0,One year,Fiber,Net Banking,1.0,1.0,13.47,0
40.0,954.0,38160.0,Month-to-month,DSL,UPI,1.0,3.0,25.65,1
,,,,,,,,,1
45.0,988.0,44460.0,One year,Fiber,UPI,5.0,0.0,22.23,0
47.0,902.0,42394.0,One year,DSL,UPI,1.0,0.0,7.54,0
42.0,680.0,28560.0,One year,Fiber,Credit Card,2.0,1.0,17.38,0
8.0,754.0,6032.0,Month-to-month,Fiber,Net Banking,3.0,1.0,24.26,0
9.0,765.0,6885.0,Month-to-month,DSL,Net Banking,1.0,2.0,27.22,1
48.0,903.0,43344.0,Month-to-month,DSL,UPI,3.0,1.0,14.37,0
2.0,900.0,1800.0,Month-to-month,Fiber,Credit Card,3.0,1.0,22.33,1
27.0,939.0,25353.0,Month-to-month,DSL,UPI,1.0,1.0,8.72,0
50.0,758.0,37900.0,Two year,DSL,Net Banking,2.0,1.0,1.78,0
41.0,509.0,20869.0,Month-to-month,Fiber,Credit Card,2.0,1.0,22.04,0
55.0,401.0,22055.0,Month-to-month,Fiber,Debit Card,2.0,1.0,2.47,1
59.0,640.0,37760.0,Month-to-month,DSL,Net Banking,0.0,2.0,7.29,1
38.0,904.0,34352.0,Month-to-month,Fiber,Debit Card,6.0,1.0,26.4,1
44.0,481.0,21164.0,Month-to-month,DSL,Credit Card,2.0,3.0,19.48,1
14.0,668.0,9352.0,Month-to-month,DSL,UPI,2.0,1.0,28.24,0
20.0,735.0,14700.0,Two year,Fiber,Net Banking,4.0,3.0,13.21,0
51.0,774.0,39474.0,One year,DSL,UPI,1.0,0.0,24.71,0
51.0,855.0,43605.0,Month-to-month,Fiber,Debit Card,3.0,3.0,15.55,1
1.0,939.0,939.0,Two year,Fiber,Net Banking,1.0,1.0,20.85,0
6.0,866.0,5196.0,Two year,Fiber,UPI,2.0,1.0,13.4,0
47.0,712.0,33464.0,Month-to-month,DSL,Debit Card,0.0,2.0,25.45,1
33.0,689.0,22737.0,Month-to-month,Fiber,Debit Card,1.0,2.0,16.96,1
42.0,716.0,30072.0,Two year,DSL,Net Banking,1.0,1.0,23.46,0
33.0,666.0,21978.0,Month-to-month,Fiber,Debit Card,3.0,1.0,28.48,0
57.0,577.0,32889.0,Month-to-month,DSL,Debit Card,4.0,3.0,17.47,1
,,,,,,,,,1
30.0,841.0,25230.0,Two year,Fiber,Credit Card,1.0,3.0,4.69,0
2.0,844.0,1688.0,One year,DSL,Net Banking,1.0,2.0,24.94,1
22.0,963.0,21186.0,Month-to-month,Fiber,Net Banking,4.0,0.0,29.72,1
55.0,814.0,44770.0,Two year,Fiber,UPI,0.0,1.0,18.36,0
7.0,765.0,5355.0,Month-to-month,DSL,Credit Card,0.0,4.0,3.44,1
59.0,843.0,49737.0,Month-to-month,Fiber,Credit Card,2.0,0.0,25.38,0
13.0,694.0,9022.0,Month-to-month,Fiber,Net Banking,3.0,0.0,15.99,0
50.0,793.0,39650.0,Month-to-month,Fiber,Net Banking,3.0,0.0,17.42,0
5.0,520.0,2600.0,Month-to-month,DSL,UPI,6.0,1.0,15.58,1
21.0,676.0,14196.0,Month-to-month,Fiber,Credit Card,1.0,2.0,22.59,1
16.0,576.0,9216.0,One year,DSL,Debit Card,3.0,2.0,15.32,0
37.0,476.0,17612.0,Two year,Fiber,Debit Card,2.0,1.0,17.65,0
53.0,709.0,37577.0,Month-to-month,DSL,UPI,2.0,2.0,5.55,1
11.0,454.0,4994.0,One year,Fiber,UPI,4.0,1.0,12.86,0
44.0,608.0,26752.0,Month-to-month,Fiber,UPI,2.0,3.0,7.08,1
37.0,983.0,36371.0,Month-to-month,Fiber,UPI,0.0,0.0,4.97,1
9.0,936.0,8424.0,Month-to-month,DSL,UPI,4.0,1.0,9.09,1
23.0,642.0,14766.0,Two year,Fiber,Debit Card,2.0,1.0,19.14,0
49.0,976.0,47824.0,Month-to-month,DSL,UPI,4.0,1.0,22.07,1
48.0,960.0,46080.0,One year,Fiber,Net Banking,1.0,0.0,27.28,0
5.0,567.0,2835.0,One year,Fiber,Net Banking,2.0,0.0,4.1,1
25.0,474.0,11850.0,Two year,Fiber,UPI,2.0,0.0,21.25,0
2.0,681.0,1362.0,One year,Fiber,Credit Card,2.0,2.0,10.68,1
2.0,414.0,828.0,Month-to-month,DSL,Credit Card,2.0,2.0,14.13,1
43.0,496.0,21328.0,Month-to-month,Fiber,Net Banking,1.0,1.0,1.67,1
27.0,797.0,21519.0,One year,Fiber,Debit Card,3.0,1.0,13.92,0
38.0,439.0,16682.0,One year,DSL,Debit Card,6.0,0.0,12.58,0
26.0,922.0,23972.0,Month-to-month,DSL,Net Banking,0.0,0.0,15.77,0
19.0,608.0,11552.0,Month-to-month,Fiber,Debit Card,4.0,1.0,3.59,1
58.0,768.0,44544.0,Month-to-month,DSL,UPI,4.0,1.0,1.69,1
4.0,488.0,1952.0,Two year,DSL,Credit Card,2.0,1.0,3.57,1
46.0,906.0,41676.0,Month-to-month,DSL,Net Banking,7.0,0.0,21.71,1
2.0,592.0,1184.0,Month-to-month,Fiber,Credit Card,3.0,2.0,25.45,1
12.0,439.0,5268.0,Month-to-month,Fiber,Credit Card,4.0,1.0,12.12,1
,,,,,,,,,1
7.0,773.0,5411.0,Month-to-month,DSL,Credit Card,1.0,0.0,27.35,0
51.0,711.0,36261.0,Two year,DSL,Credit Card,1.0,3.0,29.98,0
14.0,801.0,11214.0,Month-to-month,Fiber,Debit Card,2.0,0.0,6.57,0
25.0,568.0,14200.0,Two year,DSL,Credit Card,2.0,2.0,2.48,0
28.0,921.0,25788.0,Month-to-month,Fiber,Debit Card,2.0,0.0,2.24,1
12.0,649.0,7788.0,One year,Fiber,Net Banking,0.0,1.0,16.72,0
28.0,985.0,27580.0,Month-to-month,Fiber,Credit Card,2.0,1.0,28.87,0
58.0,516.0,29928.0,Two year,Fiber,Debit Card,2.0,1.0,13.65,0
55.0,526.0,28930.0,Month-to-month,Fiber,Debit Card,1.0,2.0,23.72,1
48.0,845.0,40560.0,Month-to-month,Fiber,Credit Card,2.0,3.0,16.69,1
10.0,945.0,9450.0,One year,DSL,Net Banking,0.0,0.0,22.74,0
31.0,776.0,24056.0,Month-to-month,Fiber,Credit Card,1.0,1.0,4.41,1
32.0,894.0,28608.0,Month-to-month,Fiber,Debit Card,2.0,0.0,27.12,0
14.0,963.0,13482.0,One year,Fiber,UPI,2.0,1.0,23.75,0
54.0,775.0,41850.0,Month-to-month,Fiber,UPI,7.0,1.0,15.28,1
14.0,728.0,10192.0,Two year,Fiber,Net Banking,3.0,1.0,13.15,0
1.0,735.0,735.0,Month-to-month,Fiber,Net Banking,1.0,0.0,28.29,1
38.0,918.0,34884.0,Month-to-month,Fiber,Debit Card,4.0,3.0,4.54,1
8.0,520.0,4160.0,Month-to-month,Fiber,Credit Card,4.0,1.0,10.62,1
7.0,622.0,4354.0,One year,Fiber,Debit Card,3.0,0.0,3.44,0
36.0,722.0,25992.0,Month-to-month,DSL,Net Banking,2.0,1.0,28.17,0
52.0,437.0,22724.0,Month-to-month,Fiber,Credit Card,3.0,1.0,27.26,0
43.0,639.0,27477.0,Month-to-month,Fiber,Net Banking,1.0,0.0,10.93,0
54.0,797.0,43038.0,Two year,DSL,UPI,1.0,0.0,14.91,0
55.0,419.0,23045.0,Month-to-month,Fiber,Credit Card,1.0,0.0,17.99,0
10.0,894.0,8940.0,Two year,DSL,Credit Card,1.0,0.0,18.88,0
50.0,605.0,30250.0,Two year,DSL,UPI,1.0,1.0,16.94,0
52.0,840.0,43680.0,Month-to-month,Fiber,Credit Card,1.0,0.0,3.5,1
8.0,574.0,4592.0,One year,DSL,Net Banking,0.0,0.0,7.91,0
50.0,569.0,28450.0,Month-to-month,Fiber,Credit Card,2.0,2.0,8.77,1
27.0,604.0,16308.0,Month-to-month,Fiber,UPI,4.0,1.0,28.89,1
22.0,970.0,21340.0,One year,DSL,Debit Card,2.0,1.0,19.02,0
18.0,620.0,11160.0,Two year,Fiber,UPI,3.0,1.0,13.52,0
24.0,787.0,18888.0,Month-to-month,DSL,Credit Card,3.0,4.0,17.91,1
32.0,498.0,15936.0,Month-to-month,Fiber,Debit Card,2.0,2.0,16.94,1
3.0,979.0,2937.0,One year,Fiber,Credit Card,0.0,2.0,15.46,1
41.0,651.0,26691.0,Month-to-month,DSL,Credit Card,2.0,1.0,22.72,0
57.0,418.0,23826.0,Month-to-month,Fiber,Credit Card,3.0,2.0,20.14,1
43.0,845.0,36335.0,One year,Fiber,Credit Card,4.0,0.0,28.57,0
26.0,987.0,25662.0,Month-to-month,Fiber,Credit Card,2.0,0.0,15.95,0
34.0,446.0,15164.0,One year,Fiber,UPI,0.0,2.0,12.68,0
29.0,434.0,12586.0,Month-to-month,DSL,Net Banking,2.0,2.0,20.39,1
53.0,787.0,41711.0,Month-to-month,Fiber,Credit Card,3.0,0.0,4.51,1
34.0,495.0,16830.0,Month-to-month,DSL,Credit Card,1.0,2.0,25.88,1
40.0,488.0,19520.0,Month-to-month,Fiber,Credit Card,2.0,3.0,11.27,1
29.0,703.0,20387.0,Month-to-month,DSL,Credit Card,1.0,2.0,20.03,1
53.0,455.0,24115.0,Month-to-month,DSL,Credit Card,1.0,1.0,7.03,0
9.0,915.0,8235.0,Month-to-month,DSL,Debit Card,0.0,1.0,5.54,0
2.0,994.0,1988.0,Month-to-month,DSL,Net Banking,1.0,2.0,9.71,1
2.0,736.0,1472.0,Month-to-month,Fiber,UPI,1.0,0.0,19.36,1
32.0,468.0,14976.0,Month-to-month,DSL,Net Banking,0.0,1.0,25.45,0
28.0,869.0,24332.0,Month-to-month,Fiber,Net Banking,1.0,1.0,1.83,1
3.0,940.0,2820.0,Month-to-month,Fiber,Debit Card,1.0,2.0,23.42,1
16.0,520.0,8320.0,One year,Fiber,Credit Card,2.0,1.0,14.91,0
40.0,692.0,27680.0,Two year,Fiber,UPI,1.0,1.0,7.77,0
1.0,993.0,993.0,Month-to-month,Fiber,Net Banking,1.0,3.0,15.83,1
23.0,893.0,20539.0,One year,Fiber,Debit Card,1.0,1.0,27.91,0
38.0,997.0,37886.0,Month-to-month,Fiber,Credit Card,1.0,1.0,15.19,0
48.0,803.0,38544.0,Month-to-month,Fiber,UPI,3.0,2.0,3.19,1
44.0,626.0,27544.0,Month-to-month,Fiber,Net Banking,1.0,2.0,12.49,1
14.0,908.0,12712.0,One year,Fiber,UPI,4.0,3.0,19.06,0
54.0,446.0,24084.0,Month-to-month,Fiber,UPI,0.0,1.0,3.28,1
18.0,553.0,9954.0,Month-to-month,Fiber,Debit Card,1.0,2.0,6.37,1
,,,,,,,,,1
57.0,999.0,56943.0,Month-to-month,Fiber,Net Banking,0.0,0.0,2.96,1
20.0,777.0,15540.0,Two year,DSL,Net Banking,5.0,0.0,17.24,0
33.0,561.0,18513.0,Month-to-month,DSL,Net Banking,4.0,0.0,2.7,1
13.0,828.0,10764.0,One year,Fiber,Debit Card,2.0,1.0,19.52,0
39.0,924.0,36036.0,Month-to-month,DSL,Debit Card,5.0,2.0,5.97,1
4.0,752.0,3008.0,One year,DSL,Debit Card,5.0,2.0,16.07,1
37.0,839.0,31043.0,One year,Fiber,Net Banking,4.0,2.0,24.55,0
44.0,565.0,24860.0,Month-to-month,Fiber,UPI,4.0,1.0,21.61,1
1.0,969.0,969.0,Month-to-month,Fiber,Net Banking,1.0,0.0,22.37,1
52.0,441.0,22932.0,Month-to-month,DSL,UPI,3.0,1.0,8.09,0
8.0,929.0,7432.0,Month-to-month,Fiber,Credit Card,4.0,0.0,6.94,1
49.0,662.0,32438.0,Month-to-month,Fiber,Credit Card,2.0,2.0,7.44,1
22.0,667.0,14674.0,Month-to-month,DSL,Debit Card,2.0,0.0,21.1,0
26.0,577.0,15002.0,One year,Fiber,Net Banking,3.0,0.0,19.67,0
21.0,420.0,8820.0,Month-to-month,Fiber,Credit Card,2.0,2.0,21.76,1
19.0,429.0,8151.0,Month-to-month,DSL,UPI,2.0,0.0,7.3,0
14.0,442.0,6188.0,Month-to-month,DSL,UPI,3.0,4.0,1.19,1
55.0,473.0,26015.0,Month-to-month,Fiber,Net Banking,3.0,1.0,1.76,1
43.0,769.0,33067.0,One year,Fiber,UPI,2.0,1.0,12.01,0
23.0,402.0,9246.0,Month-to-month,DSL,Net Banking,5.0,2.0,2.77,1
30.0,872.0,26160.0,Month-to-month,Fiber,UPI,0.0,2.0,18.23,1
,,,,,,,,,0
5.0,711.0,3555.0,Month-to-month,Fiber,Credit Card,2.0,2.0,16.5,1
17.0,878.0,14926.0,One year,DSL,Debit Card,3.0,1.0,8.34,0
25.0,874.0,21850.0,Two year,DSL,Credit Card,2.0,1.0,2.83,0
,,,,,,,,,0
25.0,630.0,15750.0,Month-to-month,DSL,Credit Card,1.0,2.0,27.67,1
42.0,538.0,22596.0,One year,Fiber,Net Banking,2.0,1.0,19.93,0
26.0,818.0,21268.0,Month-to-month,Fiber,Net Banking,4.0,1.0,28.52,1
44.0,603.0,26532.0,One year,DSL,Credit Card,2.0,0.0,4.69,0
27.0,835.0,22545.0,One year,Fiber,Net Banking,1.0,2.0,10.74,0
19.0,580.0,11020.0,Month-to-month,Fiber,UPI,4.0,2.0,8.12,1
26.0,749.0,19474.0,Two year,Fiber,Credit Card,2.0,0.0,24.79,0
43.0,752.0,32336.0,Month-to-month,DSL,Debit Card,2.0,1.0,17.95,0
20.0,492.0,9840.0,Month-to-month,Fiber,Credit Card,2.0,2.0,9.77,1
15.0,946.0,14190.0,Month-to-month,DSL,Net Banking,1.0,0.0,13.76,0
,,,,,,,,,0
45.0,571.0,25695.0,Month-to-month,Fiber,UPI,3.0,0.0,2.58,1
58.0,817.0,47386.0,One year,Fiber,Net Banking,2.0,3.0,23.58,0
,,,,,,,,,0
,,,,,,,,,1
23.0,807.0,18561.0,Month-to-month,DSL,Credit Card,5.0,2.0,29.3,1
